1559918640000,7936.36000000,7937.05000000,7930.07000000,7930.89000000,16.94841600,1559918699999,134479.48364082,158,3.70065000,29360.26686986,0
1559918700000,7932.93000000,7932.93000000,7925.59000000,7928.85000000,16.65846500,1559918759999,132100.47573216,202,5.42003700,42983.77767657,0
1559918760000,7929.16000000,7934.88000000,7926.13000000,7928.77000000,14.90575300,1559918819999,118183.24155005,163,4.82828900,38289.43999714,0
1559918820000,7928.75000000,7932.03000000,7925.59000000,7925.60000000,14.09748200,1559918879999,111773.49128241,205,7.91768400,62784.19244657,0
1559918880000,7926.16000000,7926.66000000,7912.14000000,7915.22000000,30.87715200,1559918939999,244616.39436318,336,8.22632300,65158.08302230,0
1559918940000,7915.22000000,7921.15000000,7911.00000000,7919.45000000,27.40701300,1559918999999,216928.45598633,256,19.20088600,151988.86145590,0
1559919000000,7918.45000000,7919.12000000,7903.76000000,7910.96000000,22.03030400,1559919059999,174233.82797726,397,9.72722600,76958.20022993,0
1559919060000,7910.96000000,7915.52000000,7907.11000000,7915.52000000,17.33157100,1559919119999,137134.46771191,238,12.61808300,99837.81801083,0
1559919120000,7915.82000000,7915.84000000,7910.50000000,7912.02000000,10.85990400,1559919179999,85933.02192974,158,5.59971300,44311.17187280,0
1559919180000,7912.02000000,7919.13000000,7910.51000000,7910.73000000,31.69874500,1559919239999,250861.54291980,261,15.44099000,122199.31677145,0
1559919240000,7910.71000000,7913.57000000,7910.50000000,7910.50000000,9.49458700,1559919299999,75114.08844081,144,5.66802700,44842.24954809,0
1559919300000,7910.36000000,7912.60000000,7907.92000000,7911.47000000,17.00264900,1559919359999,134499.26671428,216,8.67754400,68645.72771694,0
1559919360000,7909.96000000,7916.57000000,7906.79000000,7908.92000000,11.81581600,1559919419999,93463.74135106,174,8.49986800,67233.68002858,0
1559919420000,7908.92000000,7914.35000000,7908.92000000,7911.23000000,9.89526500,1559919479999,78283.85223940,145,7.02735600,55595.83752269,0
1559919480000,7911.25000000,7912.77000000,7906.29000000,7909.92000000,13.79442000,1559919539999,109126.72951463,191,8.44472300,66810.88894769,0
1559919540000,7909.00000000,7916.00000000,7908.00000000,7916.00000000,12.44495500,1559919599999,98463.54499649,180,10.82766700,85667.92435974,0
1559919600000,7916.00000000,7924.60000000,7916.00000000,7920.96000000,22.10882700,1559919659999,175124.84723870,327,11.66458600,92400.82950095,0
1559919660000,7920.96000000,7924.70000000,7920.96000000,7921.07000000,14.53872700,1559919719999,115194.08943755,206,6.72488700,53282.70060833,0
1559919720000,7921.07000000,7930.00000000,7921.07000000,7926.22000000,12.57671800,1559919779999,99687.87423312,241,7.11300200,56384.98823186,0
1559919780000,7927.44000000,7928.93000000,7924.15000000,7926.38000000,9.08861500,1559919839999,72047.39196121,171,4.28674800,33982.99888528,0
1559919840000,7924.68000000,7930.90000000,7924.07000000,7930.90000000,9.62221000,1559919899999,76271.55071077,191,5.77421500,45768.02292064,0
1559919900000,7929.68000000,7932.34000000,7928.69000000,7930.33000000,9.17407000,1559919959999,72758.35731179,198,5.28727000,41935.42601980,0
1559919960000,7931.02000000,7935.00000000,7930.01000000,7934.44000000,8.56003300,1559920019999,67897.72538180,181,5.62269400,44599.35243201,0
1559920020000,7935.00000000,7935.50000000,7927.58000000,7930.46000000,18.23245500,1559920079999,144595.65238793,191,4.75522000,37713.83938947,0
1559920080000,7931.89000000,7931.89000000,7925.00000000,7926.25000000,15.31539300,1559920139999,121410.85507497,214,3.82340200,30312.73170176,0
1559920140000,7926.20000000,7930.96000000,7925.10000000,7926.24000000,9.49467500,1559920199999,75278.90014144,185,6.12160100,48535.60279554,0
1559920200000,7927.82000000,7929.75000000,7926.01000000,7927.96000000,11.49842400,1559920259999,91155.30360702,162,6.52328500,51716.71605972,0
1559920260000,7926.01000000,7929.27000000,7921.96000000,7923.17000000,27.73825100,1559920319999,219872.82510946,258,19.42887700,154022.45665070,0
1559920320000,7923.18000000,7923.19000000,7916.04000000,7918.94000000,19.26952100,1559920379999,152605.91039737,218,6.31337700,49996.53611162,0
1559920380000,7917.03000000,7918.88000000,7908.23000000,7912.15000000,23.25058200,1559920439999,183962.04911962,289,7.85528800,62160.94805059,0
1559920440000,7911.58000000,7923.93000000,7911.08000000,7919.79000000,19.53792300,1559920499999,154672.62132101,212,9.35065800,74039.15475738,0
1559920500000,7919.70000000,7923.10000000,7918.18000000,7920.00000000,12.52603600,1559920559999,99193.74289105,147,4.22517400,33462.65451717,0
1559920560000,7920.59000000,7921.05000000,7918.33000000,7920.02000000,5.68776100,1559920619999,45046.74696874,144,3.82491400,30293.98678001,0
1559920620000,7920.00000000,7923.92000000,7918.31000000,7923.89000000,12.79033800,1559920679999,101318.23314853,200,7.23350000,57301.26898624,0
1559920680000,7923.87000000,7923.88000000,7920.19000000,7922.08000000,17.54805300,1559920739999,139016.12076173,156,6.18388900,48982.86799827,0
1559920740000,7921.90000000,7925.00000000,7921.00000000,7925.00000000,23.26284000,1559920799999,184316.26121148,224,12.50018700,99044.74999073,0
1559920800000,7924.98000000,7924.98000000,7921.00000000,7922.00000000,7.08751200,1559920859999,56146.01942579,128,2.28906500,18135.11989423,0
1559920860000,7921.10000000,7923.49000000,7921.00000000,7921.53000000,12.03157500,1559920919999,95316.76221578,156,3.15277800,24979.23973964,0
1559920920000,7922.48000000,7922.48000000,7915.00000000,7915.98000000,41.11535100,1559920979999,325549.46607685,258,7.42793400,58821.94283608,0
1559920980000,7915.42000000,7919.01000000,7915.06000000,7918.40000000,10.50250100,1559921039999,83147.05246195,204,4.52457200,35821.74301671,0
1559921040000,7916.09000000,7923.00000000,7916.09000000,7919.41000000,21.27328500,1559921099999,168494.25068919,245,17.64114900,139728.83308609,0
1559921100000,7922.46000000,7922.46000000,7917.00000000,7920.57000000,9.21811200,1559921159999,73003.54532613,165,4.75562300,37666.39779872,0
1559921160000,7919.20000000,7920.57000000,7916.27000000,7916.82000000,18.84845600,1559921219999,149252.21458610,141,8.20992000,65019.32556194,0
1559921220000,7918.75000000,7918.75000000,7914.62000000,7916.62000000,6.98546500,1559921279999,55298.30117477,121,4.39227600,34771.91970293,0
1559921280000,7916.00000000,7918.72000000,7913.50000000,7917.48000000,16.48086400,1559921339999,130451.69011872,225,5.01426000,39691.84620308,0
1559921340000,7917.88000000,7920.00000000,7915.37000000,7917.48000000,11.43901000,1559921399999,90579.67834603,178,3.56528600,28233.61306294,0
1559921400000,7917.91000000,7919.04000000,7913.65000000,7914.67000000,7.20621200,1559921459999,57041.42027769,127,2.18651600,17309.20603814,0
1559921460000,7914.65000000,7914.67000000,7907.00000000,7907.00000000,25.48474900,1559921519999,201616.24294531,225,9.27055800,73333.67233823,0
1559921520000,7907.00000000,7909.00000000,7901.16000000,7905.64000000,18.60168000,1559921579999,147052.03509140,300,10.99378500,86914.58496918,0
1559921580000,7906.58000000,7908.99000000,7903.26000000,7908.11000000,12.16942200,1559921639999,96218.88297943,248,7.38577100,58403.51357664,0
1559921640000,7908.42000000,7908.94000000,7905.00000000,7908.94000000,8.46482600,1559921699999,66928.16109001,182,5.69645400,45040.33520729,0
1559921700000,7907.90000000,7918.30000000,7906.91000000,7916.04000000,15.32958200,1559921759999,121288.68291521,182,7.25899900,57435.24878489,0
1559921760000,7917.23000000,7919.89000000,7916.00000000,7919.88000000,12.65246200,1559921819999,100169.06569428,180,5.39061700,42682.21230838,0
1559921820000,7919.87000000,7923.52000000,7916.84000000,7921.68000000,13.77074300,1559921879999,109063.75476809,188,8.84190500,70031.12258290,0
1559921880000,7921.68000000,7923.39000000,7916.00000000,7916.01000000,14.04543300,1559921939999,111239.56785452,160,6.33767000,50197.96501205,0
1559921940000,7916.02000000,7922.00000000,7916.02000000,7919.97000000,6.76480400,1559921999999,53570.63425242,153,4.19288700,33201.27527553,0
1559922000000,7919.95000000,7921.69000000,7916.00000000,7919.80000000,12.61412100,1559922059999,99877.60514927,164,3.64145100,28839.05599639,0
1559922060000,7919.97000000,7923.99000000,7917.68000000,7922.55000000,57.81405400,1559922119999,457941.47748783,213,45.77272900,362544.66100888,0
1559922120000,7921.52000000,7922.55000000,7916.00000000,7922.11000000,15.96234900,1559922179999,126418.20712003,231,4.66723000,36963.18088160,0
1559922180000,7917.85000000,7925.00000000,7917.81000000,7923.76000000,19.04826600,1559922239999,150908.97054961,236,15.08488400,119511.20613417,0
1559922240000,7923.78000000,7931.81000000,7922.68000000,7930.11000000,14.05311000,1559922299999,111394.86573485,187,11.50451200,91195.02190830,0
1559922300000,7931.36000000,7934.98000000,7929.56000000,7933.26000000,22.27186200,1559922359999,176667.40415711,210,15.49369800,122901.46320686,0
1559922360000,7933.26000000,7935.16000000,7930.56000000,7932.00000000,10.49782400,1559922419999,83288.23286888,135,7.13834500,56636.72280386,0
1559922420000,7933.30000000,7936.73000000,7930.80000000,7935.52000000,10.83365000,1559922479999,85959.45752333,176,6.27863200,49818.21729101,0
1559922480000,7935.58000000,7942.45000000,7935.50000000,7936.84000000,21.71745700,1559922539999,172418.76327683,311,16.36665000,129951.71846861,0
1559922540000,7936.84000000,7940.89000000,7935.00000000,7936.70000000,18.87007700,1559922599999,149789.67319700,136,3.68270900,29231.86032094,0
1559922600000,7936.59000000,7936.69000000,7929.00000000,7931.36000000,9.01959300,1559922659999,71562.15413534,141,3.32876200,26412.29463296,0
1559922660000,7930.40000000,7932.51000000,7923.05000000,7923.05000000,13.55984400,1559922719999,107492.16885278,164,4.06058800,32192.60897295,0
1559922720000,7924.98000000,7925.50000000,7921.25000000,7923.73000000,6.31403600,1559922779999,50032.82694388,126,2.78623700,22079.06786837,0
1559922780000,7921.50000000,7924.45000000,7920.96000000,7923.10000000,5.81094200,1559922839999,46037.47577631,102,3.67595200,29124.01304911,0
1559922840000,7921.52000000,7925.00000000,7921.52000000,7923.36000000,13.35742300,1559922899999,105839.00652054,167,7.43829300,58942.18785071,0
1559922900000,7924.75000000,7933.33000000,7924.07000000,7932.96000000,16.95627800,1559922959999,134428.98553435,182,11.66016400,92432.30065421,0
1559922960000,7932.64000000,7936.43000000,7932.00000000,7936.12000000,10.60679100,1559923019999,84156.72965422,155,6.00461000,47642.23153716,0
1559923020000,7935.03000000,7941.64000000,7935.00000000,7941.53000000,10.00758000,1559923079999,79444.76508598,163,7.73830900,61431.54558487,0
1559923080000,7939.40000000,7941.50000000,7935.03000000,7935.87000000,11.77983700,1559923139999,93526.42088862,187,8.52281600,67668.85330880,0
1559923140000,7935.87000000,7938.37000000,7924.75000000,7928.86000000,49.79228200,1559923199999,394818.58151724,321,20.37172900,161526.91742702,0
1559923200000,7928.00000000,7930.94000000,7920.00000000,7922.35000000,24.79397700,1559923259999,196505.97764729,182,9.17337800,72696.04639735,0
1559923260000,7921.05000000,7923.43000000,7890.00000000,7906.92000000,167.59931100,1559923319999,1324549.75876949,830,72.48348900,572770.84287599,0
1559923320000,7908.82000000,7919.13000000,7905.34000000,7913.59000000,32.92259800,1559923379999,260510.51524067,292,17.27675400,136716.48251786,0
1559923380000,7913.59000000,7913.59000000,7900.00000000,7907.21000000,88.32111000,1559923439999,698020.56174785,423,59.08925500,466902.67512606,0
1559923440000,7907.21000000,7915.00000000,7906.83000000,7915.00000000,17.89665300,1559923499999,141576.69093640,315,10.90017600,86232.77951563,0
1559923500000,7915.00000000,7931.44000000,7914.09000000,7929.46000000,20.82395400,1559923559999,164969.41833424,370,14.17050700,112263.66009348,0
1559923560000,7929.19000000,7929.19000000,7920.62000000,7920.85000000,21.83366400,1559923619999,173017.11249555,333,10.15331000,80471.73703115,0
1559923620000,7921.64000000,7924.23000000,7917.18000000,7920.30000000,14.59509000,1559923679999,115600.06696875,228,8.03484700,63649.46881710,0
1559923680000,7921.17000000,7927.38000000,7918.13000000,7926.00000000,10.05681000,1559923739999,79678.53033870,211,5.13537200,40683.84969490,0
1559923740000,7926.00000000,7929.39000000,7922.72000000,7927.13000000,11.56088400,1559923799999,91629.91208775,231,5.31917400,42163.10078028,0
1559923800000,7928.85000000,7930.50000000,7925.25000000,7929.09000000,9.45782200,1559923859999,74978.44550780,183,5.34975300,42413.76790842,0
1559923860000,7929.08000000,7930.30000000,7926.07000000,7929.23000000,11.08905800,1559923919999,87932.90724796,167,9.98086900,79146.51442693,0
1559923920000,7929.45000000,7946.63000000,7928.30000000,7940.01000000,52.20636100,1559923979999,414456.97513992,461,42.69854200,338970.28751805,0
1559923980000,7941.71000000,7950.73000000,7938.80000000,7950.73000000,48.59020600,1559924039999,386092.49462715,582,30.49385200,242374.43470825,0
1559924040000,7947.73000000,7970.00000000,7947.42000000,7960.19000000,68.72533600,1559924099999,547185.64240472,926,49.00986700,390195.56706452,0
1559924100000,7959.99000000,7977.00000000,7955.13000000,7975.24000000,75.63470600,1559924159999,602786.29984907,557,64.76685900,516165.43273657,0
1559924160000,7975.25000000,7989.16000000,7965.99000000,7969.49000000,73.51762500,1559924219999,586688.60116175,776,40.58420400,323884.32198729,0
1559924220000,7969.49000000,7984.45000000,7966.46000000,7981.20000000,36.68750500,1559924279999,292778.48736676,361,29.07900200,232076.20857134,0
1559924280000,7981.18000000,7994.00000000,7966.78000000,7986.51000000,83.10780100,1559924339999,663426.51691234,718,54.91214800,438457.80769841,0
1559924340000,7987.84000000,8010.00000000,7986.00000000,8005.44000000,137.28199000,1559924399999,1098247.55969744,1216,114.46334500,915699.00649878,0
1559924400000,8008.22000000,8032.00000000,8004.34000000,8020.21000000,193.54035000,1559924459999,1552220.78289144,1795,111.37392300,893095.33283187,0
1559924460000,8020.24000000,8024.61000000,8000.00000000,8008.11000000,111.33402200,1559924519999,891875.64353297,842,66.48180200,532688.41123357,0
1559924520000,8008.32000000,8013.76000000,7990.00000000,8004.07000000,80.19914000,1559924579999,641709.74474957,744,33.46531700,267787.21814395,0
1559924580000,8004.40000000,8009.56000000,7997.54000000,8001.87000000,53.28833400,1559924639999,426433.77329055,377,16.70604300,133696.97584395,0
1559924640000,8001.87000000,8003.36000000,7989.47000000,7999.59000000,48.10374600,1559924699999,384740.05837565,428,13.21542000,105681.56218329,0
1559924700000,7999.59000000,8020.50000000,7999.59000000,8020.50000000,95.05869900,1559924759999,761465.90792884,543,40.78467100,326708.57297255,0
1559924760000,8018.26000000,8032.14000000,8013.47000000,8025.00000000,78.91375200,1559924819999,633239.01733688,710,39.92417400,320349.08765836,0
1559924820000,8025.00000000,8044.00000000,8018.18000000,8037.45000000,57.24485300,1559924879999,459949.82077249,817,38.43819200,308898.92707360,0
1559924880000,8037.47000000,8037.62000000,8017.72000000,8028.01000000,102.75543600,1559924939999,825026.44799706,648,47.84334300,384092.81627986,0
1559924940000,8029.98000000,8034.79000000,8026.00000000,8032.93000000,44.55399100,1559924999999,357774.96334124,458,30.16047600,242199.75151895,0
1559925000000,8029.43000000,8032.78000000,8009.05000000,8014.90000000,63.80610000,1559925059999,511774.68334293,623,28.03283000,224834.80999520,0
1559925060000,8013.64000000,8027.54000000,8010.72000000,8022.49000000,31.85551900,1559925119999,255485.93803043,344,17.18961100,137851.72560442,0
1559925120000,8022.47000000,8033.82000000,8018.00000000,8029.27000000,46.06054100,1559925179999,369729.11551972,490,23.52665000,188859.20009315,0
1559925180000,8026.28000000,8035.28000000,8022.41000000,8035.28000000,36.30260600,1559925239999,291520.04222726,431,19.56960700,157157.87494303,0
1559925240000,8035.00000000,8037.49000000,8023.90000000,8024.31000000,44.59783200,1559925299999,358125.96542522,338,22.88088400,183743.44005746,0
1559925300000,8024.30000000,8029.63000000,8016.66000000,8029.63000000,36.47710200,1559925359999,292658.16667058,474,18.79381300,150802.00655571,0
1559925360000,8029.63000000,8037.52000000,8022.93000000,8037.51000000,35.68421700,1559925419999,286632.88743359,324,24.22690300,194602.72783784,0
